feature,test,statistic,p_value,pd_mean,tbi_mean,pd_std,tbi_std
mfcc_4_mean,Mann-Whitney U,4672.0,4.405281094084822e-07,47.69648100627631,53.72578417822432,9.797288738085955,7.821210112992635
spectral_flux_min,Mann-Whitney U,10224.0,6.297048829385754e-07,0.921503034535164,0.37111478691894284,0.8701368005825194,0.04913714499159471
spectral_flatness_max,Mann-Whitney U,4719.0,6.84836674451713e-07,0.09748478964476588,0.008639497034597354,0.28005066113222254,0.07431580895573962
delta_mfcc_1_median,t-test,5.09320606894945,7.135211291615907e-07,-0.3682430148481057,-0.5720287585801528,0.308543002748377,0.31400112147329684
spectral_flux_max,Mann-Whitney U,10210.0,7.174688956247923e-07,53.559089192154474,38.98674729761321,29.665245747956742,25.927020232887674
formant_f2_min,Mann-Whitney U,10204.0,7.585884354361591e-07,567.3954503556905,496.1346289938021,115.91605495539716,76.89406861154764
delta_mfcc_9_mean,Mann-Whitney U,10192.0,8.477433605214982e-07,6.727935756131062e-05,-0.005571821114503816,0.0066784323834834,0.011558261474284801
delta_mfcc_1_std,t-test,-5.090643083033396,8.807251213259022e-07,9.28996164745473,10.80386930696165,2.737815438719928,1.6952965763626877
delta_mfcc_11_max,Mann-Whitney U,4757.0,9.73440693607958e-07,6.189675876977294,7.053423426539182,1.399136189990946,1.2513021095537091
speech_rate,Mann-Whitney U,4765.0,1.0476288549093898e-06,1.9058224853685413,1.9982687467275022,0.15665962108241557,0.1055778642181761
syllable_rate,Mann-Whitney U,4765.0,1.0476288549093898e-06,1.9058224853685413,1.9982687467275022,0.15665962108241557,0.1055778642181761
mfcc_4_median,Mann-Whitney U,4774.0,1.1375953802933547e-06,45.78528333964154,51.3875752951728,9.653030801387112,7.537541187462677
delta2_mfcc_9_mean,Mann-Whitney U,4787.0,1.280780356387099e-06,0.00022632957342692456,0.0028077767323288452,0.004163742717589857,0.004288226755886885
delta2_mfcc_7_std,t-test,-4.983699738844949,1.393923537286251e-06,1.6333157647856231,1.8120100457359145,0.3246506260851221,0.21419181795479472
rms_energy_std,Mann-Whitney U,10131.0,1.4808985679987455e-06,0.009745872155067128,0.007355735572519084,0.004521027355401017,0.003500705569687461
delta2_mfcc_5_min,t-test,4.9509929083578275,1.5034166073374417e-06,-6.799763997412281,-7.5841270257251905,1.3625366808372406,1.06160978097034
chroma_stft_min,Mann-Whitney U,4851.0,2.2780991070385473e-06,0.0009358916627937398,0.001512142506779428,0.0009703549243608347,0.0012812007954628032
mfcc_3_median,t-test,-4.835207176420134,2.6895885982856305e-06,-13.447070782904369,-5.5087103076764015,14.722924506838446,10.0515445422163
delta_mfcc_7_min,Mann-Whitney U,10060.0,2.7930939054056036e-06,-9.432899366368423,-10.642120703198474,1.8085541838445878,1.8055167314810783
spectral_flatness_min,Mann-Whitney U,4930.0,4.555827413683307e-06,7.081464832043672e-11,1.4000885896770721e-10,1.391461147446687e-10,2.507860264001508e-10
delta2_mfcc_6_std,t-test,-4.654125879166936,5.653738214230926e-06,2.0209368704283897,2.247435059189794,0.41247974037690177,0.3348954292476702
spectral_centroid_median,t-test,-4.634340110824813,6.693391253169407e-06,997.1144296570192,1088.661940497248,180.26430110379079,115.52326970274686
delta2_mfcc_5_max,t-test,-4.552898414714004,8.385502371709979e-06,7.38867280775378,8.275825347581032,1.4609596049083726,1.5749177090248545
rms_energy_max,Mann-Whitney U,9930.0,8.56606606297012e-06,0.060920588130129204,0.04750236379848125,0.0320851379019394,0.029816297218205785
mfcc_7_mean,Mann-Whitney U,9892.0,1.1767757391654733e-05,-17.373661474588147,-23.112991772229005,9.971382572794488,7.452131098205187
intensity_db_max,Mann-Whitney U,9875.0,1.3544246672177682e-05,73.66466464169793,71.48127766421604,4.304135560554649,4.311197435374607
spectral_skewness,Mann-Whitney U,9828.0,1.988498955945779e-05,1.7100718999320832,1.5391271147378771,0.3443275079025372,0.28957511774589406
